,estimator,min_score,mean_score,max_score,std_score,model__max_depth,model__max_leaf_nodes,model__min_samples_leaf,model__min_samples_split,model__n_estimators,model__gamma,model__learning_rate
135,XGBClassifier,0.6397849462365591,0.6903225806451614,0.7150537634408602,0.027540319300786466,3,,,,30,0.1,0.001
44,RandomForestClassifier,0.6827956989247311,0.6903225806451612,0.6989247311827957,0.00548281668128259,4,50,50,2,140,,
47,RandomForestClassifier,0.6827956989247311,0.6903225806451612,0.6989247311827957,0.00548281668128259,4,50,50,50,140,,
40,RandomForestClassifier,0.6451612903225806,0.6903225806451612,0.7365591397849462,0.032720696891834294,4,50,1,50,50,,
23,RandomForestClassifier,0.6720430107526881,0.6881720430107527,0.6989247311827957,0.008996344371334177,,50,50,50,140,,
42,RandomForestClassifier,0.6666666666666666,0.6881720430107527,0.6989247311827957,0.011277514496453275,4,50,50,2,100,,
45,RandomForestClassifier,0.6666666666666666,0.6881720430107527,0.6989247311827957,0.011277514496453275,4,50,50,50,100,,
71,RandomForestClassifier,0.6720430107526881,0.6881720430107527,0.6989247311827957,0.008996344371334177,15,50,50,50,140,,
68,RandomForestClassifier,0.6720430107526881,0.6881720430107527,0.6989247311827957,0.008996344371334177,15,50,50,2,140,,
20,RandomForestClassifier,0.6720430107526881,0.6881720430107527,0.6989247311827957,0.008996344371334177,,50,50,2,140,,
21,RandomForestClassifier,0.6666666666666666,0.6849462365591397,0.6989247311827957,0.011580999585235532,,50,50,50,100,,
66,RandomForestClassifier,0.6666666666666666,0.6849462365591397,0.6989247311827957,0.011580999585235532,15,50,50,2,100,,
18,RandomForestClassifier,0.6666666666666666,0.6849462365591397,0.6989247311827957,0.011580999585235532,,50,50,2,100,,
69,RandomForestClassifier,0.6666666666666666,0.6849462365591397,0.6989247311827957,0.011580999585235532,15,50,50,50,100,,
145,AdaBoostClassifier,0.6290322580645161,0.667741935483871,0.6989247311827957,0.026426248876224766,,,,,25,,1
152,AdaBoostClassifier,0.5806451612903226,0.6602150537634408,0.6881720430107527,0.041001453688037884,,,,,50,,2
144,AdaBoostClassifier,0.6290322580645161,0.6580645161290322,0.6989247311827957,0.03145965341575872,,,,,50,,1
146,AdaBoostClassifier,0.6290322580645161,0.656989247311828,0.6989247311827957,0.027498305059235326,,,,,80,,1
151,AdaBoostClassifier,0.6344086021505376,0.656989247311828,0.6720430107526881,0.012447136454613135,,,,,150,,0.1
147,AdaBoostClassifier,0.6182795698924731,0.6473118279569892,0.6827956989247311,0.023947373603569966,,,,,150,,1
153,AdaBoostClassifier,0.5806451612903226,0.6376344086021505,0.6720430107526881,0.0325435396783259,,,,,25,,2
150,AdaBoostClassifier,0.5752688172043011,0.6236559139784946,0.6451612903225806,0.02589590231998341,,,,,80,,0.1
148,AdaBoostClassifier,0.5483870967741935,0.5892473118279569,0.6290322580645161,0.032720696891834294,,,,,50,,0.1
149,AdaBoostClassifier,0.5483870967741935,0.5849462365591397,0.6182795698924731,0.027074577015084266,,,,,25,,0.1
